Date,Actual Price,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3)
2022/10/26,72.83999634,72.65889,72.7186,73.48829
2022/10/27,72.36000061,72.7372,72.78687,73.58809
2022/10/28,72.52999878,72.36003,72.399605,73.20826
2022/10/31,72.93000031,72.43087,72.46693,73.28941
2022/11/01,73.26000214,72.76258,72.79183,73.61937
2022/11/02,73.86000061,73.08305,73.123474,73.91525
2022/11/03,72.5,73.62866,73.681206,74.45028
2022/11/04,72.08000183,72.61412,72.66144,73.42491
2022/11/07,71.51999664,72.12244,72.153854,72.97673
2022/11/08,71.75,71.58407,71.57497,72.47086
2022/11/09,71.86000061,71.65861,71.64965,72.53696
2022/11/10,72.59999847,71.75283,71.753204,72.61277
2022/11/11,73.75,72.36255,72.39034,73.207054
2022/11/14,74.36000061,73.40755,73.458374,74.234665
2022/11/15,74.59999847,74.079865,74.15742,74.87439
2022/11/16,74.11000061,74.38979,74.48061,75.18036
2022/11/17,73.40000153,74.04583,74.117615,74.85348
2022/11/18,74.16000366,73.42958,73.466805,74.26056
2022/11/21,74.09999847,73.96493,73.969696,74.81651
2022/11/22,75.29000092,73.982796,73.97896,74.79687
2022/11/23,75.90000153,74.98127,75.00112,75.771164
2022/11/25,73.88999939,75.62902,75.65793,76.39704
2022/11/28,74.56999969,74.0609,74.098465,74.8073
2022/11/29,74.25,74.45057,74.45307,75.27087
2022/11/30,73.77999878,74.22169,74.17803,75.04602
2022/12/01,74.43000031,73.80035,73.77754,74.583664
2022/12/02,74.69999695,74.27848,74.25364,75.08613
2022/12/05,76.98999786,74.56105,74.545654,75.34808
2022/12/06,76.58999634,76.53912,76.55858,77.30638
2022/12/07,76.76000214,76.41255,76.464615,77.128075
2022/12/08,75.44000244,76.59418,76.66233,77.32263
2022/12/09,74.51000214,75.52385,75.536575,76.298164
2022/12/12,75,74.65036,74.62124,75.44323
2022/12/13,77.34999847,74.93609,74.86626,75.75393
2022/12/14,76.66000366,76.9424,76.88877,77.71823
2022/12/15,76.70999908,76.538956,76.5568,77.22093
2022/12/16,76.05000305,76.60111,76.64213,77.30758
2022/12/19,76.15000153,76.069244,76.0587,76.83298
2022/12/20,75.69999695,76.10919,76.07786,76.87347
2022/12/21,75.97000122,75.72308,75.67753,76.48415
2022/12/22,75.62000275,75.90817,75.86741,76.66476
2022/12/23,75.69999695,75.62371,75.58501,76.375046
2022/12/27,75.90000153,75.66204,75.63297,76.412506
2022/12/28,75.63999939,75.829735,75.80071,76.58687
2022/12/29,76.04000092,75.62563,75.60773,76.37193
2022/12/30,76.5,75.94429,75.930786,76.700424
2023/01/03,76.59999847,76.36314,76.35313,77.116455
2023/01/04,77.37000275,76.492294,76.49937,77.22689
2023/01/05,76.59999847,77.17651,77.188644,77.91638
2023/01/06,77.15000153,76.58534,76.59728,77.31502
2023/01/09,77.5,77.02838,77.02863,77.77435
2023/01/10,77.04000092,77.36222,77.34278,78.111465
2023/01/11,77.69000244,77.00231,76.99723,77.71984
2023/01/12,76.88999939,77.55273,77.5348,78.28932
2023/01/13,76.88999939,76.90755,76.88142,77.636116
2023/01/17,75.90000153,76.874176,76.8415,77.60589
2023/01/18,74.62000275,76.024155,75.96766,76.772835
2023/01/19,74.48000336,74.86824,74.79949,75.62355
2023/01/20,73.51999664,74.59635,74.50452,75.390305
2023/01/23,73.81999969,73.73281,73.64274,74.51998
2023/01/24,75,73.83638,73.77224,74.62821
2023/01/25,75,74.80403,74.7637,75.59726
2023/01/26,74.79000092,74.91572,74.926865,75.65932
2023/01/27,75.5,74.764694,74.80708,75.51729
2023/01/30,76.62999725,75.34441,75.377945,76.13853
2023/01/31,76.12999725,76.361595,76.39769,77.14092
2023/02/01,76,76.044975,76.10392,76.78396
2023/02/02,76.5,75.9309,75.98152,76.69318
2023/02/03,76.63999939,76.35074,76.36353,77.14021
2023/02/06,73.75,76.50834,76.51676,77.26796
2023/02/07,74.65000153,74.131714,74.13105,74.878395
2023/02/08,73,74.602745,74.55783,75.42913
2023/02/09,73.55000305,73.264595,73.17807,74.084984
2023/02/10,75.47000122,73.509575,73.45848,74.31091
2023/02/13,75.87999725,75.12184,75.07679,75.93797
2023/02/14,76.77999878,75.66214,75.685585,76.39087
2023/02/15,76.33000183,76.513824,76.587036,77.24221
2023/02/16,77.40000153,76.24313,76.30476,76.99778
2023/02/17,77.11000061,77.16002,77.2046,77.93452
2023/02/21,77.44999695,76.994026,77.016884,77.75571
2023/02/22,77.27999878,77.29714,77.31824,78.0441
2023/02/23,77.16000366,77.18731,77.18242,77.940865
2023/02/24,76.66999817,77.09215,77.07633,77.83323
2023/02/27,77.06999969,76.67576,76.639915,77.41962
2023/02/28,76.73999786,76.98844,76.93791,77.73619
2023/03/01,76.16000366,76.72584,76.6748,77.459335
2023/03/02,76.47000122,76.219635,76.17391,76.94789
2023/03/03,78.43000031,76.436165,76.37609,77.190414
2023/03/06,79.66999817,78.13354,78.082634,78.87765
2023/03/07,79.61000061,79.335655,79.34581,80.014145
2023/03/08,79.30000305,79.387535,79.44944,80.042625
2023/03/09,79.83000183,79.18744,79.21788,79.88613
2023/03/10,78.43000031,79.6843,79.6605,80.408516
2023/03/13,77.94000244,78.48206,78.443634,79.182175
2023/03/14,78.33000183,78.02915,77.95519,78.73763
2023/03/15,78.94000244,78.3183,78.20583,79.04937
2023/03/16,78.86000061,78.84121,78.75508,79.52723
2023/03/17,80.20999908,78.79925,78.75077,79.4593
2023/03/20,79.16000366,80.01556,79.97595,80.689476
2023/03/21,79.51000214,79.13873,79.11787,79.79867
2023/03/22,79.5,79.46458,79.42792,80.13928
2023/03/23,79.56999969,79.46006,79.391815,80.16268
2023/03/24,84.83999634,79.52497,79.4699,80.1961
2023/03/27,84.12000275,84.368195,84.309944,85.046
2023/03/28,84.5,83.56922,83.68445,84.13069
2023/03/29,84.38999939,84.163605,84.26776,84.7274
2023/03/30,84.75,84.14139,84.11306,84.82814
2023/03/31,84.94999695,84.54671,84.486496,85.16767
2023/04/03,85.41000366,84.755356,84.672165,85.368004
2023/04/04,85.12999725,85.22836,85.13679,85.81756
2023/04/05,85.19999695,84.98179,84.88719,85.56028
2023/04/06,85.5,85.12719,85.002754,85.69804
2023/04/10,85.23999786,85.427216,85.28431,86.00213
2023/04/11,85.26000214,85.18208,85.05094,85.73757
2023/04/12,85.27999878,85.25372,85.10605,85.808525
2023/04/13,85.37000275,85.275475,85.121445,85.83553
2023/04/14,85.27999878,85.36471,85.21768,85.911255
