Date,Actual Price,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3),Predicted Price (run 4),Predicted Price (run 5),Predicted Price (run 6)
2022/11/29,282.5,287.014,283.364,291.762,279.978,289.655,281.412
2022/11/30,281.369995,284.524,281.333,289.644,277.908,287.591,279.138
2022/12/01,303.98999,283.4,279.923,288.392,276.616,286.278,277.726
2022/12/02,310.48999,299.991,296.424,304.751,293.453,302.297,294.613
2022/12/05,316.459991,311.279,308.151,316.133,305.589,313.458,306.445
2022/12/06,311,316.811,315.666,322.775,313.103,320.386,313.521
2022/12/07,306.5,313.451,312.787,319.589,310.293,317.654,310.475
2022/12/08,309.109985,308.259,307.127,314.019,304.63,312.445,304.918
2022/12/09,321.450012,309.005,306.807,314.04,304.405,312.506,305.016
2022/12/12,320,319.271,316.571,323.853,314.34,322.125,315.201
2022/12/13,328,321.282,319.131,326.162,316.965,324.46,317.763
2022/12/14,318.970001,326.677,325.634,332.112,323.382,330.647,324.025
2022/12/15,302.119995,321.706,320.468,326.959,318.367,325.745,318.869
2022/12/16,288.76001,306.432,305.182,311.829,302.885,311.048,303.401
2022/12/19,289.730011,292.113,289.717,297.073,287.256,296.406,287.993
2022/12/20,281.23999,289.994,285.948,294.058,283.458,293.091,284.604
2022/12/21,289.98999,284.975,280.183,288.795,277.671,287.429,278.937
2022/12/22,298.089996,289.45,285.334,293.794,282.655,292.112,283.965
2022/12/23,296.179993,298.34,294.527,302.822,292.027,300.751,293.129
2022/12/27,293.190002,299.303,296.538,304.432,294.093,302.294,294.722
2022/12/28,281.920013,296.015,294.129,301.755,291.641,299.757,291.923
2022/12/29,283.179993,286.543,284.285,292.172,281.776,290.289,281.951
2022/12/30,285.529999,284.149,281.122,289.388,278.55,287.406,279.007
2023/01/03,298.059998,286.462,282.512,291.148,279.974,288.878,280.776
2023/01/04,298.23999,296.587,292.918,301.359,290.353,298.807,291.37
2023/01/05,307,300.142,297.27,305.331,294.667,302.753,295.52
2023/01/06,311.570007,306.286,304.564,312.052,301.871,309.624,302.526
2023/01/09,316.829987,311.787,310.125,317.391,307.609,315.078,308.107
2023/01/10,311.070007,316.684,315.293,322.272,312.887,320.15,313.309
2023/01/11,326.5,313.257,311.964,318.842,309.582,317.046,310.004
2023/01/12,332.5,323.256,321.935,328.615,319.62,326.927,320.181
2023/01/13,329.970001,331.856,330.085,336.745,328.137,334.959,328.695
2023/01/17,331.079987,330.877,330.168,336.355,328.153,334.941,328.614
2023/01/18,326.75,330.766,330.286,336.271,328.246,335.231,328.705
2023/01/19,322.570007,327.884,326.647,332.841,324.747,331.987,325.289
2023/01/20,336.790009,323.685,322.12,328.469,320.21,327.787,320.87
2023/01/23,341.720001,333.99,332.104,338.431,330.338,337.647,331.076
2023/01/24,357.529999,341.508,339.717,345.947,338.326,344.917,338.851
2023/01/25,360.570007,354.742,354.46,359.946,353.234,358.963,353.346
2023/01/26,368.769989,360.296,360.565,365.706,359.777,364.812,359.487
2023/01/27,363.200012,367.061,368.031,372.664,367.435,372.121,366.924
2023/01/30,358.440002,363.975,364.558,369.264,364.286,368.989,363.825
2023/01/31,349.980011,358.725,359.119,363.834,358.77,363.988,358.57
2023/02/01,353.859985,351.152,350.579,355.716,350.236,356.029,350.353
2023/02/02,365.160004,352.852,351.724,357.006,351.28,357.341,351.619
2023/02/03,359.079987,363.218,361.985,367.216,361.75,367.241,361.988
2023/02/06,363.640015,360.361,360.069,365.071,359.987,365.039,359.892
2023/02/07,358.51001,362.628,363.146,367.702,362.952,367.987,362.66
2023/02/08,360.019989,359.84,359.552,364.418,359.704,364.64,359.324
2023/02/09,372.410004,359.951,359.749,364.564,359.897,364.908,359.543
2023/02/10,359.160004,370.51,370.104,374.886,370.513,375.025,370.1
