Date,Actual,Predicted (Run 1),Predicted (Run 2),Predicted (Run 3),Predicted (Run 4),Predicted (Run 5),Predicted (Run 6)
2022/11/29,158.270004,163.403,158.001,161.632,165.351,158.723,157.523
2022/11/30,156.970001,163.682,158.132,162.206,165.888,159.26,157.998
2022/12/01,169.990005,162.817,156.916,161.606,165.159,158.613,157.312
2022/12/02,166.589996,165.027,159.097,163.349,167.32,160.664,159.441
2022/12/05,166.789993,167.82,162.081,165.897,170.229,163.432,162.214
2022/12/06,165.300003,169.775,164.09,167.972,172.389,165.492,164.252
2022/12/07,157.720001,170.355,164.504,168.847,173.131,166.196,164.934
2022/12/08,162.729996,168.273,162.033,167.238,171.123,164.277,162.944
2022/12/09,171.600006,166.729,160.233,165.647,169.433,162.611,161.252
2022/12/12,170.369995,168.53,162.249,166.779,171.021,164.015,162.688
2022/12/13,185.309998,171.388,165.52,169.26,173.91,166.688,165.349
2022/12/14,179.869995,177.792,172.393,175.076,180.371,172.797,171.569
2022/12/15,171.460007,182.62,177.366,180.213,185.607,177.808,176.598
2022/12/16,168.639999,182.366,176.585,181.002,185.802,178.014,176.755
2022/12/19,165.720001,179.3,172.745,178.6,182.795,175.121,173.81
2022/12/20,160.639999,175.484,168.404,174.872,178.744,171.171,169.76
2022/12/21,161.139999,171.258,163.998,170.503,174.218,166.72,165.164
2022/12/22,160.940002,168.029,160.904,166.899,170.689,163.192,161.521
2022/12/23,151.960007,166.115,159.334,164.568,168.583,161.049,159.301
2022/12/27,150.740005,163.091,156.49,161.564,165.545,158.129,156.272
2022/12/28,139.270004,159.666,153.054,158.196,162.085,154.888,152.958
2022/12/29,144.020004,154.452,147.626,153.225,156.815,150.004,147.969
2022/12/30,143.339996,150.338,143.451,148.958,152.535,146.057,143.991
2023/01/03,148.509995,147.978,141.329,146.211,150.041,143.813,141.741
2023/01/04,145.669998,148.18,142.032,145.877,150.196,144.119,142.077
2023/01/05,144.910004,149.125,143.416,146.595,151.233,145.337,143.288
2023/01/06,144.740005,149.727,144.177,147.283,151.963,146.304,144.244
2023/01/09,152.839996,149.893,144.278,147.63,152.195,146.784,144.746
2023/01/10,155.070007,151.704,146.121,149.297,153.98,148.684,146.753
2023/01/11,158.399994,154.834,149.427,152.235,157.115,151.824,149.994
2023/01/12,161,158.58,153.349,155.927,160.927,155.563,153.818
2023/01/13,162.779999,162.262,157.086,159.729,164.705,159.222,157.557
2023/01/17,168.990005,165.379,160.113,163.081,167.907,162.278,160.686
2023/01/18,176.669998,169.044,163.692,166.801,171.589,165.727,164.237
2023/01/19,170.360001,174.274,168.983,171.86,176.819,170.594,169.229
2023/01/20,170.110001,177.032,171.639,175.067,179.777,173.268,171.915
2023/01/23,180.639999,177.46,171.7,176.033,180.315,173.603,172.249
2023/01/24,188.270004,179.825,173.894,178.182,182.537,175.491,174.202
2023/01/25,189.130005,185.06,179.366,182.854,187.67,180.124,178.92
2023/01/26,197.009995,190.151,184.717,187.934,192.981,184.949,183.79
2023/01/27,194.619995,195.736,190.358,193.608,198.828,190.307,189.246
2023/01/30,199.5,198.978,193.386,197.397,202.479,193.59,192.564
2023/01/31,191.699997,201.693,195.765,200.357,205.407,196.165,195.172
2023/02/01,196.910004,200.944,194.61,200.156,204.923,195.471,194.399
2023/02/02,210,200.713,194.069,199.811,204.615,194.912,193.769
2023/02/03,210,205.386,198.951,203.482,208.973,198.782,197.653
2023/02/06,208.059998,210.502,204.514,208.39,214.302,203.635,202.532
2023/02/07,213.820007,212.806,206.808,211.335,217.153,206.189,205.11
2023/02/08,223.869995,215.292,208.995,213.997,219.878,208.661,207.622
2023/02/09,226.059998,220.895,214.536,219.091,225.454,213.881,212.897
2023/02/10,216.899994,226.335,220.112,224.571,231.218,219.28,218.337
2023/02/13,215.380005,225.844,219.362,225.191,231.468,219.36,218.367
2023/02/14,215.779999,223.303,216.211,223.032,229.091,216.912,215.795
2023/02/15,225.490005,221.521,214.086,220.85,227.053,214.781,213.457
2023/02/16,221.330002,224.318,217.087,222.538,229.357,216.784,215.341
2023/02/17,216.309998,225.977,219.138,224.228,231.212,218.401,216.922
2023/02/21,210,224.457,217.5,223.365,230.108,217.253,215.756
2023/02/22,207.070007,220.323,212.89,219.702,226.161,213.442,211.847
2023/02/23,234.399994,215.97,208.137,215.229,221.642,209.093,207.325
2023/02/24,232.25,223.051,215.623,220.094,227.728,214.868,213.111
2023/02/27,236.699997,231.075,224.687,227.9,236.069,222.938,221.322
2023/02/28,233.720001,237.073,230.927,234.903,242.902,229.643,228.269
2023/03/01,231.919998,238.744,232.168,237.812,245.399,232.15,230.894
2023/03/02,224.880005,238.078,230.896,237.604,245.03,231.816,230.486
2023/03/03,233.199997,234.612,226.974,234.289,241.594,228.44,226.87
2023/03/06,238.910004,235.226,227.499,233.845,241.557,228.275,226.466
2023/03/07,236,239.247,232.03,236.995,245.131,231.561,229.694
2023/03/08,234.869995,241.146,234.317,239.373,247.36,233.58,231.796
2023/03/09,241.75,241.046,234.039,239.869,247.598,233.743,232.027
2023/03/10,234.089996,243.399,236.179,241.877,249.796,235.848,234.144
2023/03/13,227.520004,242.244,234.954,241.198,249.012,235.059,233.288
2023/03/14,234.960007,238.013,230.348,237.397,244.994,231.119,229.221
2023/03/15,237.610001,237.751,229.921,236.279,244.209,230.294,228.235
2023/03/16,240.270004,239.869,232.422,237.762,246.044,231.999,229.879
2023/03/17,259.820007,242.664,235.601,240.563,248.942,234.766,232.731
2023/03/20,256.149994,252.953,246.256,249.985,258.836,244.415,242.678
2023/03/21,261.799988,258.6,252.312,257.025,265.54,250.999,249.527
2023/03/22,264.25,262.937,256.322,262.159,270.496,255.821,254.527
2023/03/23,271.149994,266.339,259.448,265.78,274.189,259.377,258.048
2023/03/24,270.309998,271.458,264.516,270.521,279.189,264.154,262.737
2023/03/27,268.369995,273.932,267.125,273.403,282.011,266.701,265.226
2023/03/28,264.470001,273.857,266.853,273.688,282.204,266.637,265.066
2023/03/29,268.25,271.713,264.369,271.585,280.114,264.371,262.595
2023/03/30,272.290009,272.225,264.671,271.31,280.11,264.183,262.196
2023/03/31,271.399994,274.787,267.444,273.396,282.368,266.213,264.193
2023/04/03,275.089996,275.682,268.517,274.754,283.609,267.26,265.338
2023/04/04,279.660004,277.507,270.224,276.648,285.535,269.05,267.201
2023/04/05,268.290009,280.707,273.437,279.76,288.785,272.203,270.395
2023/04/06,265.839996,276.528,269.183,276.78,285.624,269.005,267.135
2023/04/10,268.230011,272.52,264.568,272.474,281.521,264.919,262.79
2023/04/11,277.23999,271.78,263.73,270.724,280.16,263.565,261.128
2023/04/12,273.700012,276.295,268.703,274.302,284.009,267.317,264.862
2023/04/13,267.339996,277.324,270.234,276.363,285.694,268.948,266.711
2023/04/14,265.040009,274.042,266.637,274.085,283.101,266.412,264.248
2023/04/17,265.649994,270.888,262.968,270.689,279.84,263.296,260.944
2023/04/18,275.329987,269.714,261.696,268.78,278.227,261.792,259.205
2023/04/19,273.609985,274.15,266.481,272.196,281.95,265.502,262.901
2023/04/20,276.709991,276.264,269.137,275.089,284.539,268.079,265.701
2023/04/21,269.519989,278.354,271.163,277.652,286.895,270.452,268.268
2023/04/24,270.130005,275.807,268.412,275.89,284.964,268.605,266.406
2023/04/25,270.779999,274.452,266.659,274.074,283.367,267.084,264.695
2023/04/26,270.019989,274.427,266.667,273.478,282.99,266.738,264.169
2023/04/27,273.630005,274.263,266.692,273.247,282.743,266.466,263.862
2023/04/28,272.25,275.924,268.468,274.719,284.191,267.873,265.327
2023/05/01,278.399994,276.263,268.934,275.429,284.75,268.421,265.965
2023/05/02,286.799988,279.28,271.925,278.175,287.561,271.216,268.844
2023/05/03,278.399994,285.421,278.32,284.068,293.516,277.136,274.936
2023/05/04,276.51001,284.01,277.081,284.199,293.282,276.833,274.764
2023/05/05,278.26001,281.728,274.208,281.938,291.128,274.65,272.451
2023/05/08,285.220001,281.688,273.956,281.052,290.594,274.123,271.638
2023/05/09,288.98999,285.595,278.158,284.149,293.901,277.34,274.789
2023/05/10,290.049988,289.74,282.776,288.656,298.166,281.461,279.139
2023/05/11,288.959991,291.96,285.073,291.702,300.899,284.075,281.988
2023/05/12,285.290009,292.092,284.963,292.282,301.448,284.559,282.496
2023/05/15,285.079987,290.101,282.663,290.334,299.685,282.756,280.518
