Date,Actual Price,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3),Predicted Price (run 4),Predicted Price (run 5),Predicted Price (run 6)
2022/11/23,245.1100006,242.74014,245.54346,244.09961,244.60405,246.2015,241.27911
2022/11/25,247.3099976,244.1127,247.18791,245.52611,245.96083,247.59726,242.66757
2022/11/28,246.0800018,246.00244,248.9744,247.48221,247.84065,249.50278,244.57158
2022/11/29,241.3999939,245.63763,248.46751,246.92694,247.22824,248.87354,244.02544
2022/11/30,240.5700073,242.19965,245.05157,243.27469,243.57468,245.09807,240.36751
2022/12/01,253.8699951,240.55933,243.98466,241.88783,242.2124,243.6212,238.81595
2022/12/02,249.8200073,249.59132,253.82117,251.86722,252.11008,253.69028,248.48221
2022/12/05,252.0099945,249.30669,251.41165,250.58302,250.73053,252.46834,247.55827
2022/12/06,250.8200073,250.69644,253.55043,252.16179,252.24312,253.89923,249.0297
2022/12/07,244.8300018,250.33366,253.67812,251.617,251.68153,253.3344,248.4401
2022/12/08,244.8399963,245.99368,248.77316,246.94586,247.0771,248.62381,243.81052
2022/12/09,244.6999969,244.78076,248.31877,246.07661,246.28015,247.73895,242.76978
2022/12/12,247.4499969,244.37814,247.79135,245.76714,245.99501,247.48865,242.44493
2022/12/13,261.6900024,246.1719,249.3648,247.77478,247.97609,249.52963,244.44476
2022/12/14,257.1300049,257.11948,260.92468,259.46713,259.502,261.30652,255.98587
2022/12/15,253.7200012,256.49564,258.45157,257.69287,257.6321,259.57217,254.59758
2022/12/16,248.5500031,253.92468,256.67963,254.97604,254.91026,256.66315,251.80164
2022/12/19,244.8600006,249.73709,253.36899,250.65608,250.6879,252.3046,247.37025
2022/12/20,239.3999939,246.03902,249.48909,247.0479,247.21631,248.73012,243.6803
2022/12/21,241.6900024,241.14972,244.40323,242.15231,242.4273,243.85748,238.83192
2022/12/22,241.2599945,241.17552,244.89561,242.73616,243.05455,244.46182,239.3094
2022/12/23,236.1100006,240.90984,244.14104,242.47588,242.74733,244.20695,239.16444
2022/12/27,238.6999969,237.203,239.97725,238.53288,238.77785,240.13739,235.39728
2022/12/28,236.8899994,237.71869,241.46655,239.5371,239.76639,241.03253,236.27693
2022/12/29,235.6499939,236.79488,240.20091,238.4553,238.65984,239.91698,235.28899
2022/12/30,238.2100067,235.63277,238.89201,237.28578,237.49632,238.68962,234.1715
2023/01/03,243.0800018,237.05698,240.79233,238.94077,239.14844,240.346,235.78545
2023/01/04,232.2799988,241.02217,244.66885,243.04092,243.21547,244.52687,239.89264
2023/01/05,227.1999969,234.95645,237.32149,235.97275,236.19843,237.43233,233.20189
2023/01/06,223,229.39354,232.70903,230.61139,230.96405,231.94078,227.75317
2023/01/09,226.4499969,224.83244,228.71611,226.25638,226.73099,227.58437,223.321
2023/01/10,227.7599945,225.4804,229.46684,227.47212,228.01715,228.9033,224.41405
2023/01/11,231.2899933,226.8402,230.21423,228.82312,229.3431,230.34792,225.89084
2023/01/12,235.2599945,229.65073,232.86313,231.72385,232.18687,233.27226,228.89093
2023/01/13,237,233.35014,236.62741,235.4218,235.81535,236.98586,232.67029
2023/01/17,237.9700012,235.81224,238.88922,237.65468,238.00793,239.23805,235.00827
2023/01/18,241.5700073,237.2612,240.4084,238.92628,239.27908,240.53848,236.32025
2023/01/19,233.7799988,240.23015,243.7057,241.95212,242.31566,243.65295,239.28198
2023/01/20,234.8600006,235.90071,238.51604,236.85835,237.30122,238.60608,234.39465
2023/01/23,241.1000061,235.03058,238.51614,236.39806,236.93181,238.15442,233.73206
2023/01/24,242.5,239.16292,243.07767,240.96109,241.50742,242.87593,238.12729
2023/01/25,234.4799957,241.51927,244.28009,243.0335,243.53914,245.06508,240.3327
2023/01/26,243.6499939,236.58934,238.76944,237.46022,237.97073,239.39822,234.9773
2023/01/27,248.9900055,241.12651,245.20312,243.00426,243.4996,244.89575,240.12141
2023/01/30,244.5099945,246.574,249.95248,248.38472,248.78711,250.40094,245.49905
2023/01/31,243.4499969,244.87953,246.94235,245.97835,246.33527,247.96051,243.32237
2023/02/01,248,243.52931,246.67369,244.7377,245.08736,246.58867,241.94514
2023/02/02,258.8200073,246.40619,250.21574,248.00143,248.33582,249.8733,244.98062
2023/02/03,259.5400085,255.17357,258.69397,257.1871,257.41156,259.19586,254.02498
2023/02/06,257.4400024,257.94138,260.2379,259.29468,259.40714,261.37393,256.3319
2023/02/07,260.5299988,257.05423,259.6627,258.08585,258.14774,260.05502,255.09686
2023/02/08,273.2000122,259.28183,262.89597,260.55255,260.59708,262.495,257.29468
2023/02/09,273.7999878,269.5811,273.30475,271.43408,271.36615,273.52737,267.90897
2023/02/10,261.5299988,271.97836,274.07858,273.10736,272.94217,275.3457,269.77084
2023/02/13,267.6400146,263.2094,265.28668,263.47064,263.3528,265.5344,260.23065
2023/02/14,272.6700134,266.46185,270.89578,267.66638,267.60132,269.61707,263.8302
2023/02/15,268.3200073,270.86743,274.16116,272.17563,272.06732,274.34958,268.3176
2023/02/16,264.019989,268.1024,270.04922,268.93155,268.76898,271.089,265.2897
2023/02/17,259.3900146,264.41238,267.5588,265.25146,265.07526,267.21136,261.50092
2023/02/21,254.4799957,260.20294,263.65314,261.088,260.96262,262.943,257.23752
2023/02/22,254.0899963,255.55438,258.80682,256.52118,256.46564,258.2942,252.64984
2023/02/23,255.5599976,254.04175,257.6634,255.38303,255.35078,257.08914,251.44615
2023/02/24,249.9600067,254.63461,258.13675,256.2201,256.12918,257.88434,252.30995
2023/02/27,252.4600067,250.63611,253.50578,251.89592,251.76077,253.43866,248.1926
2023/02/28,249.0700073,251.41187,255.20073,253.12862,252.97287,254.53491,249.30232
2023/03/01,250.7599945,249.25185,252.65746,250.69484,250.52855,252.07028,247.00887
2023/03/02,246.5500031,249.92299,253.4992,251.60286,251.45001,252.939,247.8894
2023/03/03,252.1900024,247.19614,250.54152,248.54721,248.42847,249.89058,245.00066
2023/03/06,256.4299927,250.54128,254.47285,252.39514,252.29726,253.77625,248.73473
2023/03/07,256.2999878,254.676,258.23074,256.46753,256.33157,257.99777,252.91089
2023/03/08,254.0399933,255.66862,258.5593,257.09457,256.95016,258.69974,253.72551
2023/03/09,255.8200073,254.36185,257.5968,255.54495,255.44844,257.16824,252.24025
2023/03/10,251.0800018,255.46349,259.23175,256.80222,256.7711,258.50635,253.40614
2023/03/13,247.3999939,252.33322,255.47668,253.28178,253.35008,255.09024,250.03111
2023/03/14,256.75,248.86531,252.20244,249.83856,250.02165,251.65901,246.59692
2023/03/15,259.980011,254.70943,259.04895,256.5025,256.69162,258.44736,253.03027
2023/03/16,265.2099915,258.56674,261.59286,260.10324,260.19955,262.1929,256.82373
2023/03/17,278.2600098,263.3446,266.3315,264.92905,264.89716,266.99924,261.68097
2023/03/20,276.980011,274.62115,278.48514,276.64188,276.3852,278.746,273.2071
2023/03/21,274.8800049,275.61685,278.0167,276.7037,276.38104,278.90497,273.43127
2023/03/22,273.3999939,274.58853,277.72177,275.4027,275.08026,277.49228,271.94205
2023/03/23,277.9400024,273.6041,277.4616,274.33316,274.1033,276.4741,270.66058
2023/03/24,277.2399902,277.08487,280.64658,278.1394,277.95154,280.40753,274.27957
2023/03/27,280.5,276.86383,279.70032,277.71432,277.51022,280.0823,273.9435
2023/03/28,275.7900085,279.43106,282.66278,280.54684,280.2577,282.83847,276.63528
2023/03/29,278.9599915,275.94016,278.86017,276.68805,276.37057,278.92953,272.82877
2023/03/30,284.230011,278.0607,281.64267,279.24695,278.88754,281.34146,275.1221
